rep_genome	genome	in_tree	num_in_tree	genomes_in_tree	GenBank_URL
AB818490	AB818490	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/AB818490
AB818491	AB818491	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/AB818491
AF137379	AF137379,NC_000927	True	1.0	NC_000927	https://www.ncbi.nlm.nih.gov/nuccore/AF137379
AF494278	AF494278,NC_004115	True	1.0	AF494278	https://www.ncbi.nlm.nih.gov/nuccore/AF494278
AP014542	AP014542	True	1.0	AP014542	https://www.ncbi.nlm.nih.gov/nuccore/AP014542
AP014543	AP014543	True	1.0	AP014543	https://www.ncbi.nlm.nih.gov/nuccore/AP014543
AP025008	AP025008,MF805805	True	1.0	MF805805	https://www.ncbi.nlm.nih.gov/nuccore/AP025008
AY286123	AY286123,NC_004799,AB002583	True	1.0	AB002583	https://www.ncbi.nlm.nih.gov/nuccore/AY286123
CP038136	CP038136,NC_022263,KC598086,KC598090	True	1.0	KC598090	https://www.ncbi.nlm.nih.gov/nuccore/CP038136
CP084607	CP084607,MZ647689	True	1.0	MZ647689	https://www.ncbi.nlm.nih.gov/nuccore/CP084607
HE605038	HE605038,NC_017754	True	1.0	NC_017754	https://www.ncbi.nlm.nih.gov/nuccore/HE605038
JX297813	JX297813	True	1.0	JX297813	https://www.ncbi.nlm.nih.gov/nuccore/JX297813
KF285522	KF285522,KF285523,KF285524,KF285525,KF285526,KF285527,KF285528,KF285529,KF285530,KF285531,KF285532,KF285533,KC990831,CR954199,NC_008289	True	1.0	KF285523	https://www.ncbi.nlm.nih.gov/nuccore/KF285522
KF438023	KF438023	True	1.0	KF438023	https://www.ncbi.nlm.nih.gov/nuccore/KF438023
KJ001761	KJ001761	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/KJ001761
KJ410682	KJ410682,KJ410685,NC_022261,KC598084,KC598088,NC_020014,KC012944	True	1.0	KC598084	https://www.ncbi.nlm.nih.gov/nuccore/KJ410682
KJ742376	KJ742376,NC_023835,KJ397925	True	1.0	NC_023835	https://www.ncbi.nlm.nih.gov/nuccore/KJ742376
KJ746597	KJ746597	True	1.0	KJ746597	https://www.ncbi.nlm.nih.gov/nuccore/KJ746597
KJ746601	KJ746601	True	1.0	KJ746601	https://www.ncbi.nlm.nih.gov/nuccore/KJ746601
KJ746602	KJ746602	True	1.0	KJ746602	https://www.ncbi.nlm.nih.gov/nuccore/KJ746602
KJ776827	KJ776827,KJ776828,KJ776829,KJ776830,KJ776831,KJ776832,KJ776833,KJ776834,KJ776835,KF515972,KF515973,NC_024050,KC904971	True	1.0	KC904971	https://www.ncbi.nlm.nih.gov/nuccore/KJ776827
