genome id,genome name,gene contents,number of genes,GC content,taxonomy,genome size,Have multi-copy gene
KU167097.1,Tetraselmis sp. CCMP 881,"['rpoB', 'rpoC1', 'rpoC2', 'rps2', 'psaI', 'rbcL', 'atpB', 'atpE', 'rps4', 'ycf3', 'psbJ', 'psbL', 'psbF', 'psbE', 'ftsH', 'psbZ', 'tilS', 'rps14', 'rpl20', 'rps18', 'psaJ', 'rps12', 'rps7', 'tufA', 'rpl19', 'ycf4', 'cemA', 'rpl23', 'rpl2', 'rps19', 'rps3', 'rpl16', 'rpl14', 'rpl5', 'rps8', 'infA', 'rpl36', 'rps11', 'rpoA', 'rps9', 'rpl12', 'petB', 'petD', 'atpA', 'atpF', 'atpH', 'atpI', 'chlI', 'psaA', 'psaB', 'petA', 'petL', 'petG', 'psbD', 'psbC', 'clpP', 'psbB', 'psbT', 'psbN', 'psbH', 'psbI', 'psbA', 'psaM', 'ycf12', 'psbK', 'psaC', 'ycf20', 'rpl32', 'ycf1', 'ccsA', 'ccsA', 'ycf1', 'rpl32', 'ycf20', 'psaC', 'psbK', 'ycf12', 'psaM', 'psbA', 'psbI', 'psbH', 'psbN', 'psbT', 'psbB', 'clpP']",85,0.33987273597702067,"['Eukaryota', 'Viridiplantae', 'Chlorophyta', 'core chlorophytes', 'Chlorodendrophyceae', 'Chlorodendrales', 'Chlorodendraceae', 'Tetraselmis']",100264,True
NC_058786.1,Pseudo-nitzschia simulans,"['rbcL', 'rbcS', 'psaJ', 'psaF', 'psbI', 'ycf41', 'ycf39', 'cbbX', 'psaL', 'petL', 'ycf4', 'psbE', 'psbF', 'psbL', 'psbJ', 'psaA', 'psaB', 'ycf89', 'orf181', 'orf191', 'orf173', 'orf174', 'orf577', 'rps10', 'tufA', 'rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl29', 'rpl16', 'rps3', 'rpl22', 'orf225', 'rps19', 'rpl2', 'rpl23', 'rpl4', 'rpl3', 'dnaK', 'ccsA', 'rps6', 'thiG', 'clpC', 'rpl32', 'lysR', 'rpl21', 'rpl27', 'secA', 'rpl34', 'ycf46', 'ccs1', 'psbA', 'psbY', 'psaC', 'groEL', 'psbW', 'thiS', 'rps4', 'rps16', 'orf174', 'orf173', 'orf191', 'orf181', 'ycf89', 'psaB', 'psaA', 'psbC', 'psbD', 'psbK', 'petG', 'petF', 'rpl19', 'psbV', 'ycf66', 'psbX', 'petD', 'petB', 'psaD', 'petA', 'tatC', 'atpE', 'atpB', 'ycf3', 'rps18', 'rpl33', 'rps20', 'rpoB', 'rpoC1', 'rpoC2', 'rps2', 'ycf90', 'psbZ', 'ycf12', 'rpl12', 'rpl1', 'rpl11', 'dnaB', 'ycf33', 'psbB', 'psbT', 'psbN', 'psbH', 'petN', 'petM', 'rps14', 'psaM', 'chlI', 'secG', 'ycf45', 'rpl20', 'rpl35', 'bas1', 'ftsH', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'sufC', 'sufB']",136,0.3566930199001984,"['Eukaryota', 'Sar', 'Stramenopiles', 'Ochrophyta', 'Bacillariophyta', 'Bacillariophyceae', 'Bacillariophycidae', 'Bacillariales', 'Bacillariaceae', 'Pseudo-nitzschia']",133064,True
NC_027093.1,Lepidodinium chlorophorum,"['psaA', 'psaB', 'rpl23', 'rpl2', 'rps19', 'rps3', 'rpl16', 'rpl14', 'rpl5', 'rpl36', 'rps11', 'rpoA', 'rps9', 'psbD', 'psbC', 'petB', 'petD', 'rpoB', 'psbA', 'rps14', 'psaC', 'rpoC2', 'chlI', 'psbI', 'petG', 'petL', 'petA', 'psbZ', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf1', 'ycf3', 'psbM', 'tufA', 'rpl19-atpA', 'rps2', 'atpI', 'rbcL', 'clpP', 'psbB', 'psbT', 'psbN', 'psbH', 'orf129', 'ycf12_1', 'atpH_1', 'orf86', 'ycf12_2', 'atpH_2', 'atpF', 'atpB', 'psbK-rpl20', 'rps18', 'psaJ', 'rps12', 'rps7', 'atpE', 'rps4', 'psaI', 'orf293']",62,0.34610331757848484,"['Eukaryota', 'Sar', 'Alveolata', 'Dinophyceae', 'Gymnodiniales', 'Gymnodiniaceae', 'Lepidodinium']",66223,False
LC648963.1,Rhodomonas sp. NIES-2332,"['groEL', 'ycf65', 'rps16', 'ycf19', 'hlip', 'psbC', 'psbD', 'ycf27', 'rps6', 'psbA', 'cpeB', 'ccsA', 'psaK', 'psaC', 'ycf61', 'secA', 'rpl34', 'ycf46', 'ycf35', 'ccs1', 'minD', 'minE', 'rpl32', 'psbY', 'rbcR', 'rpl27', 'rpl21', 'psaM', 'chlI', 'ycf26', 'rps4', 'rbcL', 'rbcS', 'cbbX', 'ilvH', 'rne', 'psbV', 'psbX', 'psaJ', 'psaF', 'ycf37', 'ycf12', 'ftrB', 'psaI', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf4', 'petL', 'psaL', 'cemA', 'psbI', 'ycf39', 'ycf24', 'ycf16', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'tsf', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'rpl33', 'rps18', 'infB', 'ycf3', 'atpB', 'atpE', 'tatC', 'petA', 'rpl20', 'rpl35', 'pbsA', 'petN', 'petM', 'secG', 'ycf36', 'psaD', 'psbZ', 'psbK', 'petG', 'rps14', 'psaB', 'psaA', 'acpP', 'hlpA', 'dnaK', 'rpl3', 'rpl4', 'rpl23', 'rpl2', 'rps19', 'rpl22', 'rps3', 'rpl16', 'rpl29', 'rps17', 'rpl14', 'rpl24', 'rpl5', 'rps8', 'rpl6', 'rpl18', 'rps5', 'secY', 'rpl36', 'rps13', 'rps11', 'rpoA', 'rpl13', 'rps9', 'rpl31', 'rps12', 'rps7', 'tufA', 'rps10', 'petF', 'psbB', 'psbT', 'psbN', 'psbH', 'psaE', 'ftsH', 'ycf33', 'ilvB', 'rpl19', 'clpC', 'dnaB', 'rpl11', 'rpl1', 'rpl12', 'petD', 'petB', 'ycf29', 'psbW', 'dnaX']",142,0.3288769855655764,"['Eukaryota', 'Cryptophyceae', 'Pyrenomonadales', 'Pyrenomonadaceae', 'Rhodomonas']",135163,False
NC_031665.1,Titanophycus setchellii,"['rps6', 'ycf60', 'thiG', 'trpG', 'ccs1', 'dsbD', 'ycf35', 'psbA', 'rne', 'rpl27', 'rpl21', 'rnz', 'rpl32', 'psbY', 'lysR', 'ycf54', 'ycf55', 'ycf53', 'carA', 'petJ', 'psbV', 'accD', 'psbX', 'fabH', 'apcD', 'psaJ', 'psaF', 'ycf52', 'ycf37', 'rpl34', 'ycf46', 'chlN', 'chlL', 'psaM', 'chlI', 'ycf63', 'dfr', 'psbE', 'psbF', 'psbL', 'psbJ', 'psaI', 'ftrB', 'psb30', 'tilS', 'trpA', 'secA', 'conserved_ORF_7', 'pgmA', 'cpcA', 'cpcB', 'rpoZ', 'gltB', 'psaC', 'ycf23', 'ycf22', 'accA', 'psaK', 'ccs1', 'cpeA', 'cpeB', 'nblA', 'cpcG', 'ycf20', 'apcF', 'conserved_ORF_1', 'conserved_ORF_2', 'rps4', 'infC', 'ilvH', 'ycf34', 'cbbX', 'rbcS', 'rbcL', 'trxA', 'rpl28', 'conserved_ORF_8', 'psaL', 'petL', 'ycf4', 'conserved_ORF_3', 'cemA', 'conserved_ORF_4', 'ycf58', 'psbI', 'ycf41', 'ycf39', 'conserved_ORF_5', 'sufB', 'sufC', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'tsf', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'rpl33', 'rps18', 'infB', 'ycf3', 'atpB', 'atpE', 'apcB', 'apcA', 'apcE', 'tatC', 'petA', 'odpB', 'odpA', 'preA', 'rpl20', 'rpl35', 'pbsA', 'bas1', 'ycf36', 'secG', 'petM', 'petN', 'acsF', 'chlB', 'psaD', 'acpP', 'ycf45', 'accB', 'psaA', 'psaB', 'rps14', 'petG', 'psbK', 'psbZ', 'dnaK', 'rpl3', 'rpl4', 'rpl23', 'rpl2', 'rps19', 'rpl22', 'rps3', 'rpl16', 'rpl29', 'rps17', 'rpl14', 'rpl24', 'rpl5', 'rps8', 'rpl6', 'rpl18', 'rps5', 'secY', 'rpl36', 'rps13', 'rps11', 'rpoA', 'rpl13', 'rps9', 'rpl31', 'rps12', 'rps7', 'tufA', 'rps10', 'petF', 'ycf38', 'psbB', 'psbT', 'psbN', 'psbH', 'psaE', 'ftsH', 'argB', 'ycf33', 'ilvB', 'rpl19', 'ORF_11', 'clpC', 'dnaB', 'rpl9', 'moeB', 'rpl11', 'rpl1', 'rpl12', 'petD', 'petB', 'ntcA', 'ycf29', 'thiS', 'rps1', 'syfB', 'psbW', 'syh', 'groEL', 'conserved_ORF_6', 'ycf65', 'rps16', 'ycf19', 'upp', 'psbC', 'psbD', 'ompR']",204,0.32729226204760137,"['Eukaryota', 'Rhodophyta', 'Florideophyceae', 'Nemaliophycidae', 'Nemaliales', 'Liagoraceae', 'Titanophycus']",183356,True
MN053320.1,Gracilaria textorii,"['ftsH', 'psaE', 'psbH', 'psbN', 'psbT', 'psbB', 'ycf38', 'petF', 'rps10', 'tufA', 'rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl29', 'rpl16', 'rps3', 'rpl22', 'rps19', 'rpl2', 'rpl23', 'rpl4', 'rpl3', 'dnaK', 'psbZ', 'psbK', 'petG', 'rps14', 'psaB', 'psaA', 'accB', 'ycf45', 'acpP', 'psaD', 'acsF', 'petN', 'ycf47', 'ycf36', 'bas1', 'pbsA', 'rpl35', 'rpl20', 'preA', 'odpA', 'odpB', 'petA', 'tatC', 'apcE', 'apcA', 'apcB', 'atpE', 'atpB', 'ycf3', 'infB', 'rps18', 'rpl33', 'rps20', 'rpoB', 'rpoC1', 'rpoC2', 'rps2', 'tsf', 'atpI', 'atpH', 'atpG', 'atpF', 'atpD', 'atpA', 'ycf16', 'ycf24', 'ORF245', 'ycf39', 'ORF109', 'psbI', 'ycf58', 'ORF446', 'ORF220', 'cemA', 'ORF198', 'ORF197', 'ycf4', 'petL', 'psaL', 'ORF65', 'rpl28', 'trxA', 'rbcL', 'rbcS', 'cbbX', 'ycf34', 'ilvH', 'infC', 'rps4', 'ycf80', 'ORF73', 'apcF', 'ycf20', 'cpcG', 'nblA', 'cpeB', 'cpeA', 'ccsA', 'psaK', 'accA', 'ycf22', 'ycf23', 'psaC', 'gltB', 'ycf61', 'cpcB', 'cpcA', 'pgmA', 'ycf21', 'secA', 'trpA', 'tilS', 'psb30', 'ftrB', 'psaI', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf26', 'ycf63', 'chlI', 'psaM', 'ycf46', 'rpl34', 'ycf37', 'ycf52', 'psaF', 'psaJ', 'apcD', 'fabH', 'psbX', 'accD', 'psbV', 'petJ', 'carA', 'ycf53', 'ycf55', 'ycf54', 'rbcR', 'psbY', 'rpl32', 'ycf56', 'rpl21', 'rpl27', 'rne', 'psbA', 'ycf35', 'dsbD', 'ccs1', 'trpG', 'thiG', 'ycf60', 'rps6', 'ycf27', 'psbD', 'psbC', 'ycf17', 'upp', 'ycf19', 'rps16', 'ycf65', 'ORF160', 'groEL', 'syh', 'rpl9', 'moeB', 'rpl11', 'rpl1', 'rpl12', 'petD', 'petB', 'ntcA', 'ycf29', 'ycf40', 'rps1', 'syfB', 'psbW', 'clpC', 'dnaB', 'ORF149', 'rpl19', 'ilvB', 'ycf33', 'argB']",203,0.2877973820910979,"['Eukaryota', 'Rhodophyta', 'Florideophyceae', 'Rhodymeniophycidae', 'Gracilariales', 'Gracilariaceae', 'Gracilaria']",179609,False
NC_066976.1,Eutreptiella eupharyngea,[],0,0.3655282361760882,"['Eukaryota', 'Discoba', 'Euglenozoa', 'Euglenida', 'Spirocuta', 'Euglenophyceae', 'Eutreptiales', 'Eutreptiella']",105379,False
ON228257.1,Vacuolaria virescens,"['rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl29', 'rpl16', 'rps3', 'rpl22', 'rps19', 'rpl2', 'rpl23', 'rpl4', 'rpl3', 'dnaK', 'ftsH', 'psaE', 'psbH', 'psbN', 'psbT', 'psbB', 'petF', 'petD', 'petB', 'ycf35', 'acpP', 'orf001', 'psaF', 'psaJ', 'ycf3', 'rps18', 'rpl33', 'rps20', 'rpoB', 'rpoC1', 'rpoC2', 'rps2', 'tsf', 'atpI', 'atpH', 'atpG', 'atpF', 'atpD', 'atpA', 'ycf33', 'rpl19', 'psbI', 'ycf41', 'ycf39', 'ycf24', 'ycf16', 'psaC', 'ccsA', 'orf002', 'orf003', 'psbA', 'cbbX', 'rbcS', 'rbcL', 'ycf54', 'rpl21', 'rpl27', 'clpC', 'atpB', 'atpE', 'tatC', 'petA', 'psaL', 'petL', 'ftrB', 'ycf12', 'psaI', 'dnaB', 'orf004', 'psbX', 'ycf66', 'psbV', 'petJ', 'rbcR', 'psbY', 'rpl32', 'thiG', 'orf005', 'secA', 'rpl34', 'ycf46', 'ccs1', 'tufA', 'rps10_1', 'orf006_1', 'orf27', 'psbD', 'psbC', 'ycf4', 'psbE', 'psbF', 'psbL', 'psbJ', 'rpl12', 'rpl1', 'rpl11', 'ilvB', 'ycf34', 'ilvH', 'groEL', 'orf007', 'ycf65', 'rps16', 'orf008', 'ycf45', 'psaA', 'psaB', 'rps14', 'petG', 'psbK', 'psbZ', 'psbW', 'syfB', 'rps1', 'thiS', 'rps4', 'psaD', 'ycf36', 'orf009', 'petM', 'petN', 'ycf59', 'ycf42', 'rpl35', 'rpl20', 'tsg1', 'chlI', 'orf006_2', 'rps10_2', 'tufA']",148,0.2818323487841119,"['Eukaryota', 'Sar', 'Stramenopiles', 'Ochrophyta', 'Raphidophyceae', 'Chattonellales', 'Vacuolariaceae', 'Vacuolaria']",137965,True
HM222967.2,Chromera velia,"['orf264', 'psbA', 'atpH', 'atpB', 'orf230', 'tatC', 'petA', 'petD', 'psaA', 'psbB', 'orf175', 'orf157', 'orf391', 'acsF', 'psaA', 'psbE', 'psaB', 'clpC', 'orf201', 'clpC', 'psbC', 'psbD', 'orf634', 'rpl2', 'rps19', 'orf1173', 'rpl4', 'psbV', 'psbK', 'ccsA', 'ycf3', 'psbJ', 'rpl36', 'rpl3', 'tufA', 'orf135', 'rps13', 'clpC', 'orf137', 'atpB', 'psbN', 'rps2', 'atpH', 'rps7', 'rps12', 'orf115', 'rpoA', 'rpl31', 'rps11', 'rps18', 'rpoC1', 'rpoB', 'rpl11', 'atpI', 'rps14', 'secA', 'rps4', 'rpoC2', 'rps3', 'rpl16', 'rps17', 'rpl14', 'rpl5', 'rps8', 'rpl6', 'secY', 'orf325', 'orf147', 'psbT', 'psaC', 'orf389', 'petG', 'petB', 'psbH', 'atpA', 'atpH', 'psbA', 'orf264']",78,0.3662581170179197,"['Eukaryota', 'Sar', 'Alveolata', 'Colpodellida', 'Chromeraceae', 'Chromera']",120426,True
OQ694379.1,Fragilaria capucina var. mesolepta,"['psaA', 'psaB', 'psaJ', 'psaF', 'psbI', 'ycf41', 'ycf39', 'cbbX', 'psaL', 'petL', 'ycf4', 'psbE', 'psbF', 'psbL', 'psbJ', 'ycf90', 'psbZ', 'ycf12', 'ycf33', 'psbD', 'psbC', 'petG', 'psbK', 'psaI', 'petM', 'petN', 'psbH', 'psbN', 'psbT', 'psbB', 'rps14', 'chlI', 'secG', 'psaD', 'petB', 'petD', 'rpl12', 'rpl1', 'rpl11', 'dnaB', 'psbX', 'ycf66', 'psbV', 'rpl19', 'petF', 'petA', 'tatC', 'atpE', 'atpB', 'ycf3', 'rps18', 'rpl33', 'rps20', 'rpoB', 'rpoC1', 'rpoC2', 'rps2', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'sufC', 'sufB', 'rbcL', 'rbcS', 'ftsH', 'psaE', 'ycf42', 'rpl35', 'rpl20', 'ycf45', 'ycf89', 'psbY', 'psaC', 'ccsA', 'rps6', 'thiG', 'clpC', 'rps10', 'tufA', 'rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl29', 'rpl16', 'rps3', 'rpl22', 'ycf88', 'rps19', 'rpl2', 'rpl23', 'rpl4', 'rpl3', 'dnaK', 'groEL', 'psb28', 'syfB', 'ThiS', 'rps4', 'rps16', 'ycf35', 'psbA', 'ccs1', 'ycf46', 'rpl34', 'secA', 'rpl27', 'rpl21', 'rbcR', 'rpl32', 'psbY', 'ycf89']",129,0.3121075402770997,"['Eukaryota', 'Sar', 'Stramenopiles', 'Ochrophyta', 'Bacillariophyta', 'Fragilariophyceae', 'Fragilariophycidae', 'Fragilariales', 'Fragilariaceae', 'Fragilaria']",118802,True
