rep_genome	members	genomes_in_tree	species
AB818490	AB818490		Amphidinium massartii
AB818491	AB818491		Amphidinium massartii
AF137379	AF137379,NC_000927	NC_000927	Nephroselmis olivacea
AF494278	AF494278,NC_004115	AF494278	Chaetosphaeridium globosum
AP014542	AP014542	AP014542	Rhipidosiphon lewmanomontiae
AP014543	AP014543	AP014543	Poropsis sp. ID1_4
AP025008	AP025008,MF805805	MF805805	Coccomyxa sp. SUA001
AY286123	AY286123,NC_004799,AB002583	AB002583	Cyanidioschyzon merolae
CP038136	CP038136,NC_022263,KC598086,KC598090	KC598090	Nannochloropsis oceanica
CP084607	CP084607,MZ647689	MZ647689	Chlorella variabilis
HE605038	HE605038,NC_017754	NC_017754	Eutreptiella gymnastica
JX297813	JX297813	JX297813	uncultured Pelagomonas
KF285522	KF285522,KF285523,KF285524,KF285525,KF285526,KF285527,KF285528,KF285529,KF285530,KF285531,KF285532,KF285533,KC990831,CR954199,NC_008289	KF285523	Ostreococcus tauri
KF438023	KF438023	KF438023	Lotharella oceanica
KJ001761	KJ001761		Prototheca wickerhamii
KJ410682	KJ410682,KJ410685,NC_022261,KC598084,KC598088,NC_020014,KC012944	KC598084	Nannochloropsis gaditana
KJ742376	KJ742376,NC_023835,KJ397925	NC_023835	Chlorella sorokiniana
KJ746597	KJ746597	KJ746597	Prasinococcus sp. CCMP1194
KJ746601	KJ746601	KJ746601	Chloropicon primus
KJ746602	KJ746602	KJ746602	prasinophyte sp. MBIC10622
KJ776827	KJ776827,KJ776828,KJ776829,KJ776830,KJ776831,KJ776832,KJ776833,KJ776834,KJ776835,KF515972,KF515973,NC_024050,KC904971	KC904971	Neoporphyra perforata
KJ877675	KJ877675	KJ877675	Ochromonas sp. CCMP1393
KM462862	KM462862	KM462862	Prasiolopsis sp. SAG 84.81
KM462870	KM462870	KM462870	Marsupiomonas sp. NIES 1824
KM821265	KM821265	KM821265	Lobosphaera incisa
KP686075	KP686075	KP686075	Euglena viridis
KP686076	KP686076,NC_001603,X70810	KP686076	Euglena gracilis
KT223519	KT223519	KT223519	Euglena mutabilis
KT428890	KT428890	KT428890	Guillardia theta
KT625419	KT625419	KT625419	Carteria sp. SAG 8-5
KT716756	KT716756	KT716756	Pyropia endiviifolia
KU167097	KU167097	KU167097	Tetraselmis sp. CCMP 881
KU979013	KU979013	KU979013	Ostreobium sp. OS1B
KX013546	KX013546,NC_012099,FJ493499	NC_012099	Pyramimonas parkeae
KX131180	KX131180	KX131180	Hariotina sp. MMOGRB0030F
KX284710	KX284710	KX284710	Riquetophycus sp.
KX284728	KX284728	KX284728	Rhodochaete parvula
KX306821	KX306821	KX306821	Rhexinema sarcinoideum
KX306824	KX306824	KX306824	Gloeotilopsis planctonica
KX530454	KX530454	KX530454	Dunaliella salina
KX809677	KX809677,NC_037367,KY819068	KY819068	Caulerpa manorensis
KX839260	KX839260	KX839260	Monodopsis sp. MarTras21
KY347917	KY347917	KY347917	Pedinophyceae sp. YPF-701
KY499654	KY499654	KY499654	Gomphoneis minuta
KY613608	KY613608,KC843975,NC_023775,KC631634	KC843975	Auxenochlorella protothecoides
KY629617	KY629617,KP271969,KJ718922,NC_015359,HQ914635	KY629617	Chlorella sp. ATCC 30562
KY709207	KY709207,NC_031173,KX284718	KY709207	Bangiopsis subsimplex
KY856940	KY856940	KY856940	Storeatula sp. CCMP1868
LC269918	LC269918,LC269919,LC269920,LC269921,LC269922,LC269923,LC269924,NC_010772,EU168190,EU168191	EU168191	Heterosigma akashiwo
LC484192	LC484192	LC484192	Cryptomonas curvata
LC484193	LC484193	LC484193	Cryptomonas sp. CCAC 1634B
LC484194	LC484194	LC484194	Cryptomonas sp. SAG 977-2f
LC523992	LC523992	LC523992	Astrephomene gubernaculifera
LC537471	LC537471,MW845778,NC_025310,KJ958479	KJ958479	Chaetoceros simplex
LC537912	LC537912,NC_080230,OQ784247	LC537912	Nemalion vermiculare
LC564893	LC564893	LC564893	Haptophyceae sp. NIES-3900
LC604816	LC604816	LC604816	Medakamo hakoo
LC648950	LC648950	LC648950	Cryptomonas borealis
LC648951	LC648951	LC648951	Cryptomonas curvata
LC648952	LC648952,LC648959	LC648952	Cryptomonas sp. NIES-345
LC648953	LC648953	LC648953	Cryptomonas tetrapyrenoidosa
LC648954	LC648954,LC648961	LC648961	Rhodomonas sp. NIES-1730
LC648955	LC648955	LC648955	Chroomonas collegionis
LC648956	LC648956,NC_013703,GQ358203	NC_013703	Cryptomonas paramecium
LC648957	LC648957	LC648957	Proteomonas sp. NIES-1005
LC648958	LC648958	LC648958	Rhodomonas sp. NIES-1006
LC648960	LC648960	LC648960	Proteomonas sp. NEIS-1375
LC648962	LC648962	LC648962	Chroomonas debatzensis
LC648963	LC648963	LC648963	Rhodomonas sp. NIES-2332
LC648964	LC648964	LC648964	Hemiselmis andersenii
LC648965	LC648965	LC648965	Cryptomonas sp. NIES-3952
LC704715	LC704715,LC704717		Closterium sp. NIES-68
LC716139	LC716139		Dinophyceae sp. TGD
LC716140	LC716140		Dinophyceae sp. MGD
LC761953	LC761953,LC761954,LC761955	LC761955	Pyropia sp. Myanmar_C
LC768901	LC768901,LN810504,NC_026795	LC768901	Bryopsis sp. KO-2023
LC781622	LC781622	LC781622	Amorphochlora amoebiformis
LC814759	LC814759,LC814762,LC814765,LC814786,MW679509		Skeletonema ardens
LC814774	LC814774,NC_058705,MW679511	NC_058705	Skeletonema grevillei
