genomeid	length	type	structure	release_date
PQ541132	110122	DNA	circular	24-DEC-2024
PQ722531	129090	DNA	circular	14-DEC-2024
LC855054	196969	DNA	circular	07-DEC-2024
LC855055	193095	DNA	circular	07-DEC-2024
LC855056	191999	DNA	circular	07-DEC-2024
LC855057	192229	DNA	circular	07-DEC-2024
LC855058	191582	DNA	circular	07-DEC-2024
LC855059	191989	DNA	circular	07-DEC-2024
LC855060	201308	DNA	circular	07-DEC-2024
LC855061	195169	DNA	circular	07-DEC-2024
LC855062	191977	DNA	circular	07-DEC-2024
LC855063	193038	DNA	circular	07-DEC-2024
MW323067	110705	DNA	circular	06-DEC-2024
PQ652170	139745	DNA	circular	02-DEC-2024
OR666648	129273	DNA	circular	13-OCT-2024
OR666649	128319	DNA	circular	13-OCT-2024
OR666650	129249	DNA	circular	13-OCT-2024
OR666651	129085	DNA	circular	13-OCT-2024
OR666652	129553	DNA	circular	13-OCT-2024
OR666653	129186	DNA	circular	13-OCT-2024
OR666654	128569	DNA	circular	13-OCT-2024
OR666655	130895	DNA	circular	13-OCT-2024
OR666656	128650	DNA	circular	13-OCT-2024
OR666657	129028	DNA	circular	13-OCT-2024
OR666658	127262	DNA	circular	13-OCT-2024
OP122566	180102	DNA	circular	06-OCT-2024
OP122567	179903	DNA	circular	06-OCT-2024
OP142701	175539	DNA	circular	06-OCT-2024
OP171935	179805	DNA	circular	06-OCT-2024
OP171936	175511	DNA	circular	06-OCT-2024
OP171937	175591	DNA	circular	06-OCT-2024
PQ399789	177544	DNA	circular	05-OCT-2024
PP990793	99804	DNA	circular	25-SEP-2024
OR464347	137373	DNA	circular	23-AUG-2024
OR464348	128514	DNA	circular	23-AUG-2024
OR464349	154970	DNA	circular	23-AUG-2024
OR464350	121172	DNA	circular	23-AUG-2024
OR464351	177087	DNA	circular	23-AUG-2024
OR464352	128818	DNA	circular	23-AUG-2024
PQ144585	366924	DNA	circular	11-AUG-2024
PQ010274	130827	DNA	circular	31-JUL-2024
PQ010275	116023	DNA	circular	31-JUL-2024
PQ010276	119463	DNA	circular	31-JUL-2024
PQ010277	130698	DNA	circular	31-JUL-2024
PQ083144	278280	DNA	circular	30-JUL-2024
OR830335	80212	DNA	circular	20-JUL-2024
OR881974	179093	DNA	circular	03-JUL-2024
OR909680	179093	DNA	circular	03-JUL-2024
OR909681	178961	DNA	circular	03-JUL-2024
OR909682	178961	DNA	circular	03-JUL-2024
OR909683	179020	DNA	circular	03-JUL-2024
OR909684	179020	DNA	circular	03-JUL-2024
OR909685	179761	DNA	circular	03-JUL-2024
PP962255	133866	DNA	circular	03-JUL-2024
PP727123	133852	DNA	circular	01-JUL-2024
PP942170	187014	DNA	circular	30-JUN-2024
PP949287	174086	DNA	circular	30-JUN-2024
ON553957	178256	DNA	circular	19-JUN-2024
PP906181	192340	DNA	circular	17-JUN-2024
LC814759	127021	DNA	circular	05-JUN-2024
LC814762	127378	DNA	circular	05-JUN-2024
LC814765	127343	DNA	circular	05-JUN-2024
LC814768	127226	DNA	circular	05-JUN-2024
LC814771	127212	DNA	circular	05-JUN-2024
LC814774	126904	DNA	circular	05-JUN-2024
LC814777	127104	DNA	circular	05-JUN-2024
LC814780	127201	DNA	circular	05-JUN-2024
LC814783	127013	DNA	circular	05-JUN-2024
LC814786	127348	DNA	circular	05-JUN-2024
LC814789	127121	DNA	circular	05-JUN-2024
PP728231	131897	DNA	circular	01-MAY-2024
NC_087870	130900	DNA	circular	10-APR-2024
LC537912	182792	DNA	circular	27-MAR-2024
PP471197	130900	DNA	circular	18-MAR-2024
NC_086652	132843	DNA	circular	05-MAR-2024
NC_086653	134350	DNA	circular	05-MAR-2024
NC_086752	174511	DNA	circular	05-MAR-2024
NC_086753	167631	DNA	circular	05-MAR-2024
NC_086754	196309	DNA	circular	05-MAR-2024
