protein	Uniref90 representative	full name	descriptions	UniProt Representative link	pfam domains	pfam_links	alignment_path	n_seqs	structure_path
accA	P51371	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA	https://www.uniprot.org/uniprotkb/P51371/entry	PF01039,PF03255	https://www.ebi.ac.uk/interpro/entry/pfam/PF01039,https://www.ebi.ac.uk/interpro/entry/pfam/PF03255	/public/downloads/accA.fa	229.0	/public/downloads/accA.cif
accB	P51283	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA	https://www.uniprot.org/uniprotkb/P51283/entry	PF00364,PF00529,PF01597,PF02749,PF13533	https://www.ebi.ac.uk/interpro/entry/pfam/PF00364,https://www.ebi.ac.uk/interpro/entry/pfam/PF00529,https://www.ebi.ac.uk/interpro/entry/pfam/PF01597,https://www.ebi.ac.uk/interpro/entry/pfam/PF02749,https://www.ebi.ac.uk/interpro/entry/pfam/PF13533	/public/downloads/accB.fa	225.0	/public/downloads/accB.cif
accD	Q1XDT9	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl-CoA	https://www.uniprot.org/uniprotkb/Q1XDT9/entry	PF01039	https://www.ebi.ac.uk/interpro/entry/pfam/PF01039	/public/downloads/accD.fa	411.0	/public/downloads/accD.cif
acpP	Q1XDK6	Acyl carrier protein	Carrier of the growing fatty acid chain in fatty acid biosynthesis	https://www.uniprot.org/uniprotkb/Q1XDK6/entry	PF00550	https://www.ebi.ac.uk/interpro/entry/pfam/PF00550	/public/downloads/acpP.fa	412.0	/public/downloads/acpP.cif
acsF	P51277	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase	Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)	https://www.uniprot.org/uniprotkb/P51277/entry	PF02915	https://www.ebi.ac.uk/interpro/entry/pfam/PF02915	/public/downloads/acsF.fa	332.0	/public/downloads/acsF.cif
apcA	P59856	Allophycocyanin alpha chain	Light-harvesting photosynthetic tetrapyrrole chromophore-protein from the phycobiliprotein complex.	https://www.uniprot.org/uniprotkb/P59856/entry	PF00502	https://www.ebi.ac.uk/interpro/entry/pfam/PF00502	/public/downloads/apcA.fa	264.0	/public/downloads/apcA.cif
apcF_B	P59857,Q1XDS1	Allophycocyanin subunit beta-18 (Allophycocyanin subunit B18)/Allophycocyanin beta chain	Light-harvesting photosynthetic bile pigment-protein from the phycobiliprotein complex. Allophycocyanin has a maximum absorption at approximately 650 nanometers (By similarity).	https://www.uniprot.org/uniprotkb/P59857/entry, https://www.uniprot.org/uniprotkb/Q1XDS1/entry	PF00502	https://www.ebi.ac.uk/interpro/entry/pfam/PF00502	/public/downloads/apcF_B.fa	527.0	/public/downloads/apcF_B.cif
argB	P69365	Acetylglutamate kinase	Catalyzes the ATP-dependent phosphorylation of N-acetyl-L-glutamate	https://www.uniprot.org/uniprotkb/P69365/entry	PF00696	https://www.ebi.ac.uk/interpro/entry/pfam/PF00696	/public/downloads/argB.fa	222.0	/public/downloads/argB.cif
atpA	P51242	ATP synthase subunit alpha, chloroplastic	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	https://www.uniprot.org/uniprotkb/P51242/entry	PF00006,PF00306,PF01245,PF02874	https://www.ebi.ac.uk/interpro/entry/pfam/PF00006,https://www.ebi.ac.uk/interpro/entry/pfam/PF00306,https://www.ebi.ac.uk/interpro/entry/pfam/PF01245,https://www.ebi.ac.uk/interpro/entry/pfam/PF02874	/public/downloads/atpA.fa	859.0	/public/downloads/atpA.cif
atpB	P51259	ATP synthase subunit beta, chloroplastic	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits	https://www.uniprot.org/uniprotkb/P51259/entry	PF00006,PF02874	https://www.ebi.ac.uk/interpro/entry/pfam/PF00006,https://www.ebi.ac.uk/interpro/entry/pfam/PF02874	/public/downloads/atpB.fa	859.0	/public/downloads/atpB.cif
